model,C,class_weight,accuracy,precision_macro,recall_macro,f1_macro,precision_positive,recall_positive,f1_positive,max_depth,min_samples_leaf,n_estimators
Q1 Linear SVM,0.1,,0.8391687251637848,0.801104573413822,0.6485297041544914,0.6797340739597253,0.7548543689320388,0.324380704041721,0.4537661863943097,,,
Q1 Linear SVM,0.1,balanced,0.7587799377080872,0.674200051766721,0.7303009999709917,0.6873701353106514,0.44419908272464753,0.681877444589309,0.5379551532606459,,,
Q1 Linear SVM,1.0,,0.8381484265922028,0.7992012166061084,0.6460525203213754,0.6767749682802797,0.7519950890116636,0.3194263363754889,0.44838945827232796,,,
Q1 Linear SVM,1.0,balanced,0.7509397486843519,0.6680544643949391,0.7248814081292908,0.6800812833405022,0.43333886767391666,0.6805736636245111,0.5295191722458916,,,
Q1 Linear SVM,10.0,,0.839759424336806,0.8013942464711801,0.6505432508857414,0.6820129906233513,0.7546379413524835,0.3288135593220339,0.4580457682528151,,,
Q1 Linear SVM,10.0,balanced,0.7575448394372248,0.6751209528336767,0.7338686973449757,0.6880991761933926,0.44333333333333336,0.6936114732724902,0.5409252669039146,,,
Q2 Linear SVM,0.1,,0.6768996298715436,0.673362395495247,0.6691334901614502,0.6700239348414607,0.6923641703377387,0.7448657187993681,0.7176560121765602,,,
Q2 Linear SVM,0.1,balanced,0.6694970607446113,0.6680281521720562,0.6696399621956857,0.6679943703307516,0.7139240506329114,0.6682464454976303,0.6903304773561811,,,
Q2 Linear SVM,1.0,,0.6562159808404093,0.6519541982779278,0.6501931032421109,0.6507228203524458,0.6806977626090254,0.7089257503949447,0.6945250532017798,,,
Q2 Linear SVM,1.0,balanced,0.6422817330720662,0.6401721542946406,0.6413456519289629,0.6402637935564006,0.6848232848232848,0.6504739336492891,0.6672068057524813,,,
Q2 Linear SVM,10.0,,0.6313956020030481,0.6271578872511239,0.6267786883926498,0.6269390982239431,0.6636753804135779,0.6718009478672986,0.6677134445534838,,,
Q2 Linear SVM,10.0,balanced,0.6231221423905944,0.620935013043308,0.6219373101448475,0.6209711863591478,0.6663896967179062,0.6334913112164297,0.6495241951812107,,,
Q1 Random Forest,,,0.842874019976372,0.8072288623398545,0.6579120512582451,0.6906957781836645,0.7634782608695653,0.3434159061277705,0.4737410071942446,20.0,1.0,100.0
Q1 Random Forest,,,0.840779722908388,0.8041802093805199,0.6523444824372231,0.684274632624553,0.7595465393794749,0.3319426336375489,0.4619851206677554,20.0,3.0,100.0
Q1 Random Forest,,,0.8468478144130598,0.8140959714101677,0.6674634657860877,0.7016945251659323,0.773511407902059,0.3624511082138201,0.49360795454545453,,1.0,100.0
Q1 Random Forest,,,0.8451831167436366,0.8106681565811329,0.6639045678535245,0.6975244224464521,0.7680180180180181,0.35567144719687094,0.4861878453038674,,3.0,100.0
Q1 Random Forest,,balanced,0.8441091182472344,0.7714996290075155,0.710351828648248,0.732931409253136,0.6681096681096681,0.48292046936114735,0.5606175268654457,20.0,1.0,100.0
Q1 Random Forest,,balanced,0.8434647191493931,0.7668718393053012,0.7196025279966396,0.7383542986071472,0.6541554959785523,0.5089960886571057,0.5725179645109254,20.0,3.0,100.0
Q1 Random Forest,,balanced,0.8437332187734937,0.8085874088042606,0.6600946654135839,0.6932054828185283,0.7653471026965003,0.34784876140808346,0.47830763714593044,,1.0,100.0
Q1 Random Forest,,balanced,0.84690151433788,0.791223350456973,0.6899002691765002,0.7203558613497889,0.7176991150442478,0.42294654498044326,0.5322395406070549,,3.0,100.0
Q2 Random Forest,,,0.6784236882212061,0.6797099292950037,0.6643332160571755,0.6642403110631768,0.6755407653910149,0.80173775671406,0.7332490518331226,20.0,1.0,100.0
Q2 Random Forest,,,0.6816895275419116,0.6841576884785647,0.6670245314127639,0.666797500378111,0.6764511873350924,0.8100315955766193,0.7372393961179008,20.0,3.0,100.0
Q2 Random Forest,,,0.6760287393860223,0.6740476623612879,0.6650041046655215,0.6657087515407643,0.6820083682008368,0.7725118483412322,0.7244444444444444,,1.0,100.0
Q2 Random Forest,,,0.677117352492924,0.6767312748281603,0.6643668467200619,0.6646965498457162,0.6780984719864177,0.7887045813586098,0.7292313310206318,,3.0,100.0
Q2 Random Forest,,balanced,0.6758110167646418,0.6719983324879164,0.669590234805264,0.6702965504244771,0.6964218455743879,0.7302527646129542,0.7129361866203971,20.0,1.0,100.0
Q2 Random Forest,,balanced,0.6751578489005008,0.6713441595822702,0.6698552559264701,0.6703795700207409,0.698928844682479,0.7215639810426541,0.7100660707345511,20.0,3.0,100.0
Q2 Random Forest,,balanced,0.6821249727846723,0.6795376477916588,0.6726543618682321,0.673630165388205,0.6912919343326196,0.7650078988941548,0.7262842144731908,,1.0,100.0
Q2 Random Forest,,balanced,0.6816895275419116,0.6785797385305916,0.673252240319543,0.6742304133622192,0.694121915820029,0.7555292259083728,0.7235249621785174,,3.0,100.0
